Actor ID,Movie Title
13576,The Royal Family of Broadway
13576,Sarah and Son
13576,Honor Among Lovers
13576,The Marriage Playground
13576,Manslaughter
13576,True to the Navy
13576,Tonight Is Ours
13576,Laughter
13576,Good Dame
13576,We Live Again
13576,All of Me
13576,The 400 Million
13576,Victory
13576,Island of Allah
13576,The Titan: Story of Michelangelo
13576,Valley of the Tennessee
13576,A Christmas Carol
13576,Seven Days in May
13576,The Man in the Gray Flannel Suit
13576,The Bridges at Toko-Ri
13576,Executive Suite
13576,… tick… tick… tick…
13576,The Condemned of Altona
13576,Ladies Love Brutes
13576,Paris Bound
13576,My Sin
13576,The Night Angel
13576,The Studio Murder Mystery
13576,A Christmas Carol
13576,Footlights and Fools
13576,The Making of a Great Motion Picture
13576,The Winslow Boy
13576,The Devil
13576,It's a Big Country
13576,Paramount on Parade
13576,Cavalcade of the Academy Awards
13576,So You Want to Be in Pictures
13576,Hollywood Remembers: Myrna Loy - So Nice to Come Home to
13576,Complicated Women
13576,Make Me a Star
13576,The Spencer Tracy Legacy: A Tribute by Katharine Hepburn
13576,Breakdowns of 1936
13576,Hollywood: Style Center of the World
13576,Brother Can You Spare a Dime?
47439,Herbie Rides Again
47439,A Caribbean Mystery
47439,Murder with Mirrors
47439,A Farewell to Arms
47439,My Son John
47439,Another Language
47439,The Sin of Madelon Claudet
47439,The White Sister
47439,The Son-Daughter
47439,What Every Woman Knows
47439,A Family Upside Down
47439,Do Not Fold Spindle or Mutilate
47439,Arrowsmith
47439,Night Flight
47439,Vanessa: Her Love Story
47439,The Dancing Town
47439,A.N.T.A. Album of 1955
47439,The Bat
47439,Candleshoe
47439,Anastasia
47439,Hopper's Silence
47439,Harvey
47439,Murder Is Easy
47439,One of Our Dinosaurs Is Missing
47439,Arsenic and Old Lace
47439,Stage Door Canteen
47439,Airport
47439,The Ten-Year Lunch
47439,Main Street to Broadway
47439,Third Man on the Mountain
47439,Victory at Entebbe
47439,Crime without Passion
47439,Cavalcade of the Academy Awards
47439,Hollywood Goes to Town
10921,Island of Lost Souls
10921,Jamaica Inn
10921,The Suspect
10921,Mutiny on the Bounty
10921,Ruggles of Red Gap
